cpu_percent,disk_percent,disk_used_gb,id,mem_percent,mem_used_mb,ts
3.4,85.7,265.52,286,67.5,10836.98,2026-07-17T15:32:49
0.2,85.7,265.52,287,67.6,10848.7,2026-07-17T15:32:52
0.9,85.7,265.55,288,67.7,10861.98,2026-07-17T15:59:34
0.1,85.7,265.55,289,67.6,10859.33,2026-07-17T15:59:37
0.3,85.7,265.55,290,67.6,10845.2,2026-07-17T15:59:40
2.3,85.7,265.55,291,67.6,10853.95,2026-07-17T15:59:43
8.1,85.7,265.47,292,67.8,10882.95,2026-07-17T15:59:46
0.6,85.7,265.47,293,67.7,10867.07,2026-07-17T15:59:49
0.5,85.7,265.47,294,67.7,10873.21,2026-07-17T15:59:52
0.2,85.7,265.47,295,67.7,10871.51,2026-07-17T15:59:55
1.2,85.7,265.47,296,68.4,10985.02,2026-07-17T15:59:58
0.7,85.7,265.47,297,68.9,11062.5,2026-07-17T16:00:01
1.0,85.7,265.47,298,69.1,11095.44,2026-07-17T16:00:04
0.7,85.7,265.47,299,68.9,11061.14,2026-07-17T16:00:07
3.8,85.7,265.47,300,71.1,11406.28,2026-07-17T16:00:10
5.3,85.7,265.48,301,74.3,11920.11,2026-07-17T16:00:13
2.4,85.7,265.49,302,75.6,12133.11,2026-07-17T16:00:16
1.4,85.7,265.49,303,75.5,12119.05,2026-07-17T16:00:19
1.8,85.7,265.49,304,75.3,12094.73,2026-07-17T16:00:22
0.9,85.7,265.49,305,75.2,12066.71,2026-07-17T16:00:25
0.1,85.7,265.49,306,75.1,12061.88,2026-07-17T16:00:28
1.2,85.7,265.49,307,75.2,12073.56,2026-07-17T16:00:31
0.6,85.7,265.49,308,70.6,11329.22,2026-07-17T16:00:34
0.3,85.7,265.49,309,70.6,11329.78,2026-07-17T16:00:37
0.2,85.7,265.49,310,70.5,11312.23,2026-07-17T16:00:40
7.7,84.4,400.88,311,63.7,10041.66,2026-07-22T17:26:22
7.7,84.4,400.88,312,63.7,10051.52,2026-07-22T17:26:25
4.9,84.4,400.88,313,63.7,10049.78,2026-07-22T17:26:28
14.1,84.4,400.88,314,65.2,10280.99,2026-07-22T17:26:31
15.9,84.4,400.88,315,66.0,10417.25,2026-07-22T17:26:34
14.0,84.4,400.88,316,66.0,10413.42,2026-07-22T17:26:38
11.5,84.4,400.88,317,66.0,10405.8,2026-07-22T17:26:41
9.7,84.4,400.88,318,66.0,10404.04,2026-07-22T17:26:44
11.6,84.4,400.88,319,65.9,10392.67,2026-07-22T17:26:47
23.0,84.4,400.88,320,65.9,10397.71,2026-07-22T17:26:50
7.6,84.4,400.88,321,65.9,10394.61,2026-07-22T17:26:53
9.9,84.4,400.88,322,65.9,10395.32,2026-07-22T17:26:57
10.4,84.4,400.88,323,65.7,10356.38,2026-07-22T17:27:00
8.7,84.4,400.88,324,64.8,10227.15,2026-07-22T17:27:03
17.8,84.4,400.88,325,65.1,10269.31,2026-07-22T17:27:06
1.8,84.4,400.9,326,64.8,10223.71,2026-07-22T17:27:10
3.4,84.4,400.9,327,64.8,10226.07,2026-07-22T17:27:13
4.7,84.4,400.9,328,64.8,10214.79,2026-07-22T17:27:16
7.5,84.4,400.9,329,64.7,10209.97,2026-07-22T17:27:19
14.7,84.4,400.9,330,64.9,10229.11,2026-07-22T17:27:22
10.8,84.4,400.9,331,66.5,10491.4,2026-07-22T17:27:25
16.8,84.4,400.9,332,65.7,10367.21,2026-07-22T17:27:28
11.5,84.4,400.9,333,65.8,10382.11,2026-07-22T17:27:31
10.6,84.4,400.9,334,65.7,10368.71,2026-07-22T17:27:34
18.3,84.4,400.9,335,65.9,10387.7,2026-07-22T17:27:37
11.6,84.4,400.9,336,65.8,10371.7,2026-07-22T17:27:41
9.2,84.4,400.9,337,65.7,10369.81,2026-07-22T17:27:44
10.5,84.4,400.9,338,65.7,10363.66,2026-07-22T17:27:47
11.9,84.4,400.9,339,65.7,10367.75,2026-07-22T17:27:50
19.1,84.4,400.9,340,64.9,10238.29,2026-07-22T17:27:54
12.1,84.4,400.9,341,64.8,10215.91,2026-07-22T17:27:57
14.9,84.4,400.9,342,65.0,10257.51,2026-07-22T17:28:00
15.6,84.4,400.92,343,65.0,10253.59,2026-07-22T17:28:03
11.3,84.4,400.92,344,65.5,10326.46,2026-07-22T17:28:06
16.1,84.4,400.92,345,66.0,10414.41,2026-07-22T17:28:09
7.0,84.4,400.92,346,66.5,10485.29,2026-07-22T17:28:12
15.7,84.4,400.92,347,65.5,10331.07,2026-07-22T17:28:15
2.9,84.4,400.92,348,65.4,10320.05,2026-07-22T17:28:18
2.5,84.4,400.92,349,65.4,10312.51,2026-07-22T17:28:21
3.7,84.4,400.92,350,65.4,10310.36,2026-07-22T17:28:24
3.1,84.4,400.92,351,65.4,10309.77,2026-07-22T17:28:27
11.7,84.4,400.92,352,65.4,10308.47,2026-07-22T17:28:30
4.5,84.4,400.92,353,65.4,10308.38,2026-07-22T17:28:33
18.7,84.4,400.92,354,65.4,10322.14,2026-07-22T17:28:36
10.9,84.4,400.92,355,65.4,10316.58,2026-07-22T17:28:39
12.9,84.4,400.92,356,65.4,10320.04,2026-07-22T17:28:43
17.1,84.4,400.92,357,65.4,10321.12,2026-07-22T17:28:46
11.5,84.4,400.92,358,65.5,10324.38,2026-07-22T17:28:49
18.4,84.4,400.92,359,65.4,10313.74,2026-07-22T17:28:52
12.4,84.4,400.92,360,65.4,10311.57,2026-07-22T17:28:55
10.8,84.4,400.92,361,65.4,10317.3,2026-07-22T17:28:59
8.6,84.4,400.92,362,65.3,10303.81,2026-07-22T17:29:02
10.7,84.4,400.92,363,65.4,10317.03,2026-07-22T17:29:05
27.9,84.4,400.92,364,65.7,10360.3,2026-07-22T17:29:08
