ts,mem_percent_lag_0,mem_percent_lag_1,mem_percent_lag_3,mem_percent_lag_5,mem_percent_lag_10,mem_percent_lag_20,mem_percent_roll_mean,mem_percent_roll_std,mem_percent_roll_max,mem_percent_roll_min,mem_percent_delta,mem_percent_ewma_fast,mem_percent_ewma_slow,mem_percent_trend,mem_percent_headroom,mem_percent_level_x_vol,mem_percent_slope_x_vol,mem_percent_steps_to_saturation,mem_percent_zscore_local,cpu_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:21:40,72.0,71.3,70.4,70.5,71.6,70.5,71.39,0.8359292899388849,72.4,70.4,0.7000000000000028,71.4893571319989,71.2256280941646,0.26372903783429535,28.0,60.18690887559971,0.5851505029572218,39.99999999999984,0.7297267930934646,20.4,85.8,15.0,21.0,40.0,4.0,72.3
2026-07-17 15:21:43,72.3,72.0,70.7,70.5,72.3,70.5,71.39000000000001,0.8359292899388849,72.4,70.4,0.29999999999999716,71.89467856599944,71.42096844068013,0.47371012531931456,27.700000000000003,60.437687662581375,0.2507787869816631,92.33333333333422,1.088608822483673,20.6,85.8,15.0,21.0,43.0,4.0,72.5
2026-07-17 15:21:46,72.5,72.3,71.3,70.4,72.4,70.5,71.4,0.849836585598769,72.5,70.4,0.20000000000000284,72.19733928299972,71.6171559969201,0.5801832860796168,27.5,61.61315245591075,0.1699673171197562,137.49999999999804,1.2943664919120514,40.8,85.8,15.0,21.0,46.0,4.0,70.8
2026-07-17 15:21:49,70.8,72.5,72.0,70.7,72.4,70.7,71.24,0.7890923055426402,72.5,70.4,-1.7000000000000028,71.49866964149986,71.46858217929827,0.03008746220159253,29.200000000000003,55.86773523241892,-1.3414569194224906,584.0,-0.5576026998481757,41.6,85.8,15.0,21.0,49.0,4.0,70.7
2026-07-17 15:21:52,70.7,70.8,72.3,71.3,71.4,70.6,71.17,0.8042249547096281,72.5,70.4,-0.09999999999999432,71.09933482074993,71.3288399648804,-0.22950514413047074,29.299999999999997,56.858704297970704,-0.08042249547095824,585.9999999999999,-0.5844135987668975,42.0,85.8,15.0,21.0,52.0,4.0,70.7
2026-07-17 15:21:55,70.7,70.7,72.5,72.0,70.5,70.7,71.19,0.7880355321937753,72.5,70.4,0.0,70.89966741037497,71.21450542581124,-0.31483801543626555,29.299999999999997,55.71411212609992,0.0,585.9999999999999,-0.6217993732286496,43.1,85.8,15.0,21.0,55.0,4.0,70.9
2026-07-17 15:21:58,70.9,70.7,70.8,72.3,70.5,70.6,71.22999999999999,0.7587270040446676,72.5,70.4,0.20000000000000284,70.89983370518749,71.15732262111828,-0.2574889159307929,29.099999999999994,53.79374458676694,0.15174540080893567,145.4999999999979,-0.4349390469046181,40.2,85.8,15.0,21.0,58.0,4.0,70.8
2026-07-17 15:22:01,70.8,70.9,70.7,72.5,70.4,70.6,71.27000000000001,0.719644974198267,72.5,70.7,-0.10000000000000853,70.84991685259374,71.09235487182404,-0.24243801923030617,29.200000000000003,50.9508641732373,-0.07196449741983284,584.0,-0.653099815674562,62.3,85.8,15.0,22.0,1.0,4.0,70.8
2026-07-17 15:22:04,70.8,70.8,70.7,70.8,70.7,70.8,71.28,0.7114929530375965,72.5,70.7,0.0,70.82495842629686,71.0391994405833,-0.2142410142864435,29.200000000000003,50.37370107506183,0.0,584.0,-0.6746377430032535,61.4,85.8,15.0,22.0,4.0,4.0,70.8
2026-07-17 15:22:07,70.8,70.8,70.9,70.7,71.3,70.9,71.23,0.7273238618386817,72.5,70.7,0.0,70.81247921314844,70.99570863320452,-0.18322942005607956,29.200000000000003,51.494529418178665,0.0,584.0,-0.5912084321184825,62.1,85.8,15.0,22.0,7.0,4.0,70.8
2026-07-17 15:22:10,70.8,70.8,70.8,70.7,72.0,71.6,71.11,0.6838615844354692,72.5,70.7,0.0,70.80623960657422,70.96012524534915,-0.15388563877492345,29.200000000000003,48.417400178031215,0.0,584.0,-0.45330810657526355,62.1,85.8,15.0,22.0,10.0,4.0,70.8
2026-07-17 15:22:13,70.8,70.8,70.8,70.9,72.3,72.3,70.96,0.5440588203493353,72.5,70.7,0.0,70.8031198032871,70.93101156437658,-0.1278917610894723,29.200000000000003,38.51936448073294,0.0,584.0,-0.2940858488375614,59.4,85.8,15.0,22.0,13.0,4.0,70.9
2026-07-17 15:22:16,70.9,70.8,70.8,70.8,72.5,72.4,70.8,0.06666666666586453,70.9,70.7,0.10000000000000853,70.85155990164355,70.92537309812629,-0.07381319648273177,29.099999999999994,4.726666666609796,0.006666666666587022,290.99999999997516,1.500000000018176,78.3,85.8,15.0,22.0,16.0,4.0,70.9
2026-07-17 15:22:19,70.9,70.9,70.8,70.8,70.8,72.4,70.81,0.07378647873654437,70.9,70.7,0.0,70.87577995082178,70.92075980755787,-0.044979856736091506,29.099999999999994,5.231461342420996,0.0,581.9999999999999,1.2197356689340013,76.1,85.8,15.0,22.0,19.0,4.0,70.9
2026-07-17 15:22:22,70.9,70.9,70.8,70.8,70.7,71.4,70.83,0.06749485577028493,70.9,70.7,0.0,70.8878899754109,70.91698529709281,-0.02909532168190765,29.099999999999994,4.785385274113201,0.0,581.9999999999999,1.037116076494016,76.9,85.8,15.0,22.0,22.0,4.0,70.9
2026-07-17 15:22:25,70.9,70.9,70.9,70.8,70.7,70.5,70.85,0.05270462766850748,70.9,70.8,0.0,70.89394498770545,70.91389706125776,-0.019952073552303773,29.099999999999994,3.736758101697181,0.0,581.9999999999999,0.9486832980681086,76.9,85.8,15.0,22.0,25.0,4.0,70.9
2026-07-17 15:22:28,70.9,70.9,70.9,70.8,70.9,70.5,70.85,0.05270462766850748,70.9,70.8,0.0,70.89697249385273,70.91137032284725,-0.014397828994518136,29.099999999999994,3.736758101697181,0.0,581.9999999999999,0.9486832980681086,77.6,85.8,15.0,22.0,28.0,4.0,71.0
2026-07-17 15:22:31,71.0,70.9,70.9,70.9,70.8,70.4,70.87,0.06749485577031815,71.0,70.8,0.09999999999999432,70.94848624692636,70.92748480960229,0.02100143732407389,29.0,4.792134759692589,0.006749485577031431,290.0000000000165,1.9260727134876678,91.1,85.8,15.0,22.0,31.0,4.0,71.0
2026-07-17 15:22:34,71.0,71.0,70.9,70.9,70.8,70.7,70.89000000000001,0.07378647873660192,71.0,70.8,0.0,70.97424312346318,70.9406693896746,0.03357373378858597,29.0,5.238839990298737,0.0,580.0,1.4907880398068043,91.7,85.8,15.0,22.0,34.0,4.0,71.0
2026-07-17 15:22:37,71.0,71.0,70.9,70.9,70.8,71.3,70.91,0.07378647873661508,71.0,70.8,0.0,70.98712156173158,70.95145677337013,0.03566478836145848,29.0,5.23883999029967,0.0,580.0,1.2197356689328325,90.6,85.8,15.0,22.0,37.0,4.0,71.0
