ts,cpu_percent_lag_0,cpu_percent_lag_1,cpu_percent_lag_3,cpu_percent_lag_5,cpu_percent_lag_10,cpu_percent_lag_20,cpu_percent_roll_mean,cpu_percent_roll_std,cpu_percent_roll_max,cpu_percent_roll_min,cpu_percent_delta,cpu_percent_ewma_fast,cpu_percent_ewma_slow,cpu_percent_trend,cpu_percent_headroom,cpu_percent_level_x_vol,cpu_percent_slope_x_vol,cpu_percent_steps_to_saturation,cpu_percent_zscore_local,mem_percent_now,disk_percent_now,hour,minute,second_of_minute,dayofweek,__target__
2026-07-17 15:24:43,4.1,4.6,4.0,10.9,25.3,63.9,7.779999999999999,3.8078281940694674,11.9,3.9,-0.5,4.475631727606061,10.198198279914616,-5.722566552308555,95.9,15.612095595684815,-1.9039140970347337,1918.0,-0.966430157151377,70.6,85.8,15.0,24.0,43.0,4.0,0.2
2026-07-17 15:24:46,0.2,4.1,4.3,3.9,11.6,45.5,6.639999999999999,4.22116360997971,11.9,0.2,-3.8999999999999995,2.3378158638030304,8.380344047202867,-6.0425281833998365,99.8,0.844232721995942,-16.46253807892087,1995.9999999999998,-1.5256456738076907,70.6,85.8,15.0,24.0,46.0,4.0,0.7
2026-07-17 15:24:49,0.7,0.2,4.6,4.0,11.3,46.4,5.58,4.251744739907134,11.9,0.2,0.49999999999999994,1.518907931901515,6.983917856802345,-5.46500992490083,99.3,2.9762213179349937,2.1258723699535667,198.60000000000002,-1.1477641059201,70.5,85.8,15.0,24.0,49.0,4.0,0.2
2026-07-17 15:24:52,0.2,0.7,4.1,4.3,11.2,44.6,4.4799999999999995,4.054572179102272,11.9,0.2,-0.49999999999999994,0.8594539659507575,5.750478246474645,-4.8910242805238875,99.8,0.8109144358204544,-2.0272860895511355,1995.9999999999998,-1.0555984234439353,70.6,85.8,15.0,24.0,52.0,4.0,0.0
2026-07-17 15:24:55,0.0,0.2,0.2,4.6,11.9,45.0,3.29,3.3134238753549625,10.9,0.0,-0.2,0.42972698297537876,4.704936747115618,-4.275209764140239,100.0,0.0,-0.6626847750709925,2000.0,-0.9929306130950563,70.5,85.8,15.0,24.0,55.0,4.0,0.8
2026-07-17 15:24:58,0.8,0.0,0.7,4.1,10.9,44.5,2.2800000000000002,2.0247359224229755,4.6,0.0,0.8,0.6148634914876894,3.994948247640051,-3.3800847561523617,99.2,1.6197887379383804,1.6197887379383804,124.0,-0.7309595209971398,70.9,85.8,15.0,24.0,58.0,4.0,4.1
2026-07-17 15:25:01,4.1,0.8,0.2,0.2,3.9,26.3,2.3,2.043417616531192,4.6,0.0,3.3,2.3574317457438445,4.014048566250951,-1.6566168205071063,95.9,8.378012227777887,6.743278134552933,29.060606060606062,0.880877205637286,70.6,85.8,15.0,25.0,1.0,4.0,4.9
2026-07-17 15:25:04,4.9,4.1,0.0,0.7,4.0,25.5,2.3899999999999997,2.143957918325363,4.9,0.0,0.8000000000000007,3.6287158728719224,4.175130645114414,-0.5464147722424912,95.1,10.50539379979428,1.7151663346602921,118.87499999999989,1.1707319339367217,70.6,85.8,15.0,25.0,4.0,4.0,4.5
2026-07-17 15:25:07,4.5,4.9,0.8,0.2,4.3,25.9,2.41,2.164588747184766,4.9,0.0,-0.40000000000000036,4.064357936435961,4.234197800548157,-0.16983986411219565,95.5,9.740649362331446,-0.8658354988739071,1910.0,0.965541377186879,70.7,85.8,15.0,25.0,7.0,4.0,4.1
2026-07-17 15:25:10,4.1,4.5,4.1,0.0,4.6,26.9,2.3600000000000003,2.113554141985859,4.9,0.0,-0.40000000000000036,4.08217896821798,4.209798200448492,-0.12761923223051141,95.9,8.665571982142021,-0.8454216567943442,1918.0,0.8232578316470879,70.7,85.8,15.0,25.0,10.0,4.0,4.6
