ts,column_name,mean,max,p95,samples
2026-07-22T17:26:00,mem_used_mb,10307.780769230769,10417.25,10414.952,13
2026-07-22T17:27:00,cpu_percent,11.285,19.1,18.34,20
2026-07-22T17:27:00,disk_percent,84.4,84.4,84.4,20
2026-07-22T17:27:00,disk_used_gb,400.8975,400.9,400.9,20
2026-07-22T17:27:00,mem_percent,65.3025,66.5,65.93,20
2026-07-22T17:27:00,mem_used_mb,10301.419,10491.4,10392.885,20
2026-07-22T17:28:00,cpu_percent,10.934999999999999,18.7,18.415,20
2026-07-22T17:28:00,disk_percent,84.4,84.4,84.4,20
2026-07-22T17:28:00,disk_used_gb,400.92,400.92,400.92,20
2026-07-22T17:28:00,mem_percent,65.48,66.5,66.025,20
2026-07-22T17:28:00,mem_used_mb,10327.277,10485.29,10417.954,20
2026-07-22T17:29:00,cpu_percent,15.733333333333333,27.9,26.179999999999996,3
2026-07-22T17:29:00,disk_percent,84.4,84.4,84.4,3
2026-07-22T17:29:00,disk_used_gb,400.92,400.92,400.92,3
2026-07-22T17:29:00,mem_percent,65.46666666666667,65.7,65.67,3
2026-07-22T17:29:00,mem_used_mb,10327.046666666667,10360.3,10355.973,3
